Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,symmetric,0.61,0.4036209538405626
75% Corpus,10,symmetric,0.9099999999999999,0.3975320483491542
75% Corpus,10,symmetric,symmetric,0.35183396253755406
75% Corpus,10,asymmetric,0.01,0.36021674111061747
75% Corpus,10,asymmetric,0.31,0.38039414725425863
75% Corpus,10,asymmetric,0.61,0.4038800291632268
75% Corpus,10,asymmetric,0.9099999999999999,0.48047416056385533
75% Corpus,10,asymmetric,symmetric,0.3368771770608306
100% Corpus,2,0.01,0.01,0.3926668334427876
100% Corpus,2,0.01,0.31,0.40140229107256503
100% Corpus,2,0.01,0.61,0.3924928813727153
100% Corpus,2,0.01,0.9099999999999999,0.396979924457319
100% Corpus,2,0.01,symmetric,0.40560275350887676
100% Corpus,2,0.31,0.01,0.39728791335847713
100% Corpus,2,0.31,0.31,0.4058421135248681
100% Corpus,2,0.31,0.61,0.41875887707538195
100% Corpus,2,0.31,0.9099999999999999,0.4119951900206032
100% Corpus,2,0.31,symmetric,0.400600646593539
100% Corpus,2,0.61,0.01,0.39196652067867666
100% Corpus,2,0.61,0.31,0.39196652067867666
100% Corpus,2,0.61,0.61,0.3833952013726525
100% Corpus,2,0.61,0.9099999999999999,0.4167246976733292
100% Corpus,2,0.61,symmetric,0.39196652067867666
100% Corpus,2,0.9099999999999999,0.01,0.39728791335847724
100% Corpus,2,0.9099999999999999,0.31,0.38616415836466644
100% Corpus,2,0.9099999999999999,0.61,0.3833952013726525
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3833952013726525
100% Corpus,2,0.9099999999999999,symmetric,0.3833952013726525
100% Corpus,2,symmetric,0.01,0.3944176917435128
100% Corpus,2,symmetric,0.31,0.39196652067867666
100% Corpus,2,symmetric,0.61,0.3963187858237984
100% Corpus,2,symmetric,0.9099999999999999,0.42940672147180037
100% Corpus,2,symmetric,symmetric,0.39196652067867654
100% Corpus,2,asymmetric,0.01,0.4056422047630976
100% Corpus,2,asymmetric,0.31,0.419615818241474
100% Corpus,2,asymmetric,0.61,0.4500566586464382
100% Corpus,2,asymmetric,0.9099999999999999,0.42529930756546636
100% Corpus,2,asymmetric,symmetric,0.4500566586464382
100% Corpus,3,0.01,0.01,0.3677080416153516
100% Corpus,3,0.01,0.31,0.3777002660989816
100% Corpus,3,0.01,0.61,0.3917745755832338
100% Corpus,3,0.01,0.9099999999999999,0.4056611205342482
100% Corpus,3,0.01,symmetric,0.3743902396944045
100% Corpus,3,0.31,0.01,0.3648837013028086
100% Corpus,3,0.31,0.31,0.3733800326195098
100% Corpus,3,0.31,0.61,0.3969555333513058
100% Corpus,3,0.31,0.9099999999999999,0.4136196502429635
100% Corpus,3,0.31,symmetric,0.3761894836812263
100% Corpus,3,0.61,0.01,0.3781997044848147
100% Corpus,3,0.61,0.31,0.3816535752413579
100% Corpus,3,0.61,0.61,0.39955301461555065
100% Corpus,3,0.61,0.9099999999999999,0.3989335810733057
100% Corpus,3,0.61,symmetric,0.3816535752413579
100% Corpus,3,0.9099999999999999,0.01,0.3860673851009551
100% Corpus,3,0.9099999999999999,0.31,0.37839168750855245
100% Corpus,3,0.9099999999999999,0.61,0.3894583505850476
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.39975295751852885
100% Corpus,3,0.9099999999999999,symmetric,0.37839168750855245
100% Corpus,3,symmetric,0.01,0.3716839661749727
100% Corpus,3,symmetric,0.31,0.3733800326195098
100% Corpus,3,symmetric,0.61,0.3911856787483768
100% Corpus,3,symmetric,0.9099999999999999,0.415191446887643
100% Corpus,3,symmetric,symmetric,0.3733800326195098
100% Corpus,3,asymmetric,0.01,0.38147816138068763
100% Corpus,3,asymmetric,0.31,0.40870950944656054
100% Corpus,3,asymmetric,0.61,0.4385170326348022
100% Corpus,3,asymmetric,0.9099999999999999,0.44244080944344866
100% Corpus,3,asymmetric,symmetric,0.4203389498218322
100% Corpus,4,0.01,0.01,0.3694177588537572
100% Corpus,4,0.01,0.31,0.3369660563805237
100% Corpus,4,0.01,0.61,0.33812962636174726
100% Corpus,4,0.01,0.9099999999999999,0.37594921883412613
100% Corpus,4,0.01,symmetric,0.3592162714840722
100% Corpus,4,0.31,0.01,0.35705133605195893
100% Corpus,4,0.31,0.31,0.35305405522055755
100% Corpus,4,0.31,0.61,0.3614835125440351
100% Corpus,4,0.31,0.9099999999999999,0.3924603069220491
100% Corpus,4,0.31,symmetric,0.37536572869653295
100% Corpus,4,0.61,0.01,0.3780910112889777
100% Corpus,4,0.61,0.31,0.33929748127913384
100% Corpus,4,0.61,0.61,0.3603293241820274
100% Corpus,4,0.61,0.9099999999999999,0.360488128960223
100% Corpus,4,0.61,symmetric,0.3800629665884374
100% Corpus,4,0.9099999999999999,0.01,0.34866501236559777
100% Corpus,4,0.9099999999999999,0.31,0.3739461003034432
100% Corpus,4,0.9099999999999999,0.61,0.3856285077273145
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3877411078893901
100% Corpus,4,0.9099999999999999,symmetric,0.37172749980135456
100% Corpus,4,symmetric,0.01,0.3723912622548866
100% Corpus,4,symmetric,0.31,0.35921028578873593
100% Corpus,4,symmetric,0.61,0.35051709435233713
100% Corpus,4,symmetric,0.9099999999999999,0.39735183136961144
100% Corpus,4,symmetric,symmetric,0.3613290452191795
100% Corpus,4,asymmetric,0.01,0.36984221383775745
100% Corpus,4,asymmetric,0.31,0.42932612716820595
100% Corpus,4,asymmetric,0.61,0.4463594312852671
100% Corpus,4,asymmetric,0.9099999999999999,0.4880274703260717
100% Corpus,4,asymmetric,symmetric,0.39504895300759224
100% Corpus,5,0.01,0.01,0.3748330352085717
100% Corpus,5,0.01,0.31,0.3796258682174959
100% Corpus,5,0.01,0.61,0.34916578024786027
100% Corpus,5,0.01,0.9099999999999999,0.38621216107114
100% Corpus,5,0.01,symmetric,0.3808895535590551
100% Corpus,5,0.31,0.01,0.3897466550268862
100% Corpus,5,0.31,0.31,0.386533814789399
100% Corpus,5,0.31,0.61,0.4280013443137819
100% Corpus,5,0.31,0.9099999999999999,0.4327558341940083
100% Corpus,5,0.31,symmetric,0.3813474368475842
100% Corpus,5,0.61,0.01,0.36554490686720575
